Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056801,E00056801,4,10km to less than 20km,17
E00056801,E00056801,5,20km to less than 30km,3
E00056801,E00056801,6,30km to less than 40km,0
E00056801,E00056801,7,40km to less than 60km,1
E00056801,E00056801,8,60km and over,2
E00056801,E00056801,9,Works mainly from home,43
E00056801,E00056801,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",16
E00056802,E00056802,-8,Does not apply,184
E00056802,E00056802,1,Less than 2km,4
E00056802,E00056802,2,2km to less than 5km,9
E00056802,E00056802,3,5km to less than 10km,25
E00056802,E00056802,4,10km to less than 20km,19
E00056802,E00056802,5,20km to less than 30km,8
E00056802,E00056802,6,30km to less than 40km,2
E00056802,E00056802,7,40km to less than 60km,2
E00056802,E00056802,8,60km and over,1
E00056802,E00056802,9,Works mainly from home,84
E00056802,E00056802,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056803,E00056803,-8,Does not apply,135
E00056803,E00056803,1,Less than 2km,20
E00056803,E00056803,2,2km to less than 5km,11
E00056803,E00056803,3,5km to less than 10km,21
E00056803,E00056803,4,10km to less than 20km,17
E00056803,E00056803,5,20km to less than 30km,4
E00056803,E00056803,6,30km to less than 40km,2
E00056803,E00056803,7,40km to less than 60km,2
E00056803,E00056803,8,60km and over,0
E00056803,E00056803,9,Works mainly from home,33
E00056803,E00056803,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",19
E00056804,E00056804,-8,Does not apply,163
E00056804,E00056804,1,Less than 2km,13
E00056804,E00056804,2,2km to less than 5km,3
E00056804,E00056804,3,5km to less than 10km,19
E00056804,E00056804,4,10km to less than 20km,22
E00056804,E00056804,5,20km to less than 30km,1
E00056804,E00056804,6,30km to less than 40km,0
E00056804,E00056804,7,40km to less than 60km,1
E00056804,E00056804,8,60km and over,1
E00056804,E00056804,9,Works mainly from home,71
